fingerprint,title,author,date,categories,tags,id,license,comments,source,hostname,source-hostname,excerpt,filename,has_text
huc5r4d67nKkODLmbHeybTnEkRQ=,Appearing Nightly,Gregory Norman Bossert,2021-11-24,,,,,,https://www.bourbonpenn.com/issue/25/appearing-nightly-by-gregory-norman-bossert,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/OWEVFq5Xh-VB9GDnBi0yxfoPGV4.json,TRUE
5m2la4xBFW5542EDZVz9rB0GnEQ=,The Immaterialists,Charles Wilkinson,2019-03-01,,,,,,https://www.bourbonpenn.com/issue/17/the-immaterialists-by-charles-wilkinson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/3QFIIdIjkSYUfDqlKG1xoJ9TKb8.json,TRUE
7kCor8/D8AOLMaUC3Kf+Ot0tkuY=,The Barrel,Holly Day,2013-05-01,,,,,,https://www.bourbonpenn.com/issue/7/the-barrel-by-holly-day,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/KYXpq8Vqvm83AETBIDpiph1hz4o.json,TRUE
cRY4faIpye4RRvysIC+Zg7I0VR8=,Bug Spray,Santino DeFranco,2017-04-01,,,,,,https://www.bourbonpenn.com/issue/13/bug-spray-by-santino-defranco,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/FzVXPLaaXSvb1qM7LA2qvqv7D6k.json,TRUE
iY7zXNm29SWS1yS8dELrAuSk2Ec=,Disappearer,Jason Baltazar,2020-07-01,,,,,,https://www.bourbonpenn.com/issue/21/disappearer-by-jason-baltazar,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/uEUAozLOkct+HA9S-NMXBGYg7DE.json,TRUE
wYBE3S52WiQ3xL0eILF/pWIOh6w=,On Snowflake-veined Wings,Chip Houser,2022-10-23,,,,,,https://www.bourbonpenn.com/issue/28/on-snowflake-veined-wings-by-chip-houser,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/uj5fehrwHLPchkL1ggmurGzLpBQ.json,TRUE
O+P98SbgSti1airo66hhc2iTisM=,The Upstairs Neighbors,erin lee damron,2011-06-01,,,,,,https://www.bourbonpenn.com/issue/2/the-upstairs-neighbors-by-erin-lee-damron,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/X+j1NpMTQ2ssInNuo9WAxlxd3ZU.json,TRUE
60pKLclLFXwjKcN6Ye62u8dvjEs=,Carousel,Addy Evenson,2013-11-01,,,,,,https://www.bourbonpenn.com/issue/8/carousel-by-addy-evenson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/wK1kRR5urma2pAkyj4V0EGm9V9c.json,TRUE
a5OPMON3DTZNt0PDkmCnpgOyIN4=,Day of the Creamsicles,Don Raymond,2012-09-01,,,,,,https://www.bourbonpenn.com/issue/5/day-of-the-creamsicles-by-don-raymond,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/JyAg414V+prNESPdAUJ4W1De2po.json,TRUE
nZF1hoQ4CQsfx2lZoVhrd8rza2E=,Play Devil,Josh Pearce,2022-07-01,,Locus Magazine,,,,https://www.bourbonpenn.com/issue/27/play-devil-by-josh-pearce,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/T0dn-c4noOL7gF7lTGSUDACnAV4.json,TRUE
4I9Ln7tNMNRD9P59UxvODYInS5I=,Bristle,Emily C. Skaftun,2020-11-10,,,,,,https://www.bourbonpenn.com/issue/22/bristle-by-emily-c-skaftun,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/puTb085SyLLslD9St+AM-faqczw.json,TRUE
8oaIIyXe0nswV2Eli3N7YBky8fk=,Beata Beatrix,Rebecca Schwarz,2013-11-01,,,,,,https://www.bourbonpenn.com/issue/8/beata-beatrix-by-rebecca-schwarz,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/GDdiOnUXmbmP+ZMzEntO02m5VRw.json,TRUE
y+FXhdzuIxDhTT1rrPfWSFT2dmk=,The World Without Watercress,Charles Wilkinson,2015-03-01,,,,,,https://www.bourbonpenn.com/issue/10/the-world-without-watercress-by-charles-wilkinson,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/jAO6WnikouNKYOhhCHX+e8Qr8+0.json,TRUE
p/PxoLKs+YBLUBm6ueCR9swhCn8=,Sometimes Things Are True,Chris Kammerud,2018-03-01,,,,,,https://www.bourbonpenn.com/issue/15/sometimes-things-are-true-by-chris-kammerud,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/LqMz-TSMSlp8ypDnlf-MEmvHe8U.json,TRUE
DX5DdJUGe0Xd27kEwnKFvUEtttc=,Rituals,Hamdy Elgammal,2019-03-01,,,,,,https://www.bourbonpenn.com/issue/17/rituals-by-hamdy-elgammal,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/yXAy3BP1Q0-vmBr45N9xnjKMF7c.json,TRUE
M+nxREm6W7OAvS1OBXBxLTTPpCg=,The Ghost of Zefort,M.C. Williams,2018-11-01,,,,,,https://www.bourbonpenn.com/issue/16/the_ghost_of_zefort_by_m_c_williams,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/nN+zgFOcKGC3DF8DEuCHYZtGhx4.json,TRUE
VQI/iQARddPiMc8WO7nrVG1Tg1w=,Constellation Burn,Josh Rountree,2023-03-01,,,,,,https://www.bourbonpenn.com/issue/29/constellation-burn-by-josh-rountree,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/9y03GOo+CRmAhdgHXMB25M8FjoE.json,TRUE
O8xAmTdZCd8JjBEp1mzmuN+6qfI=,My Name is Ellie,Sam Rebelein,2019-07-01,,,,,,https://www.bourbonpenn.com/issue/18/my-name-is-ellie-by-sam-rebelein,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/ZX-rpAGbLjqlB0jjNqLcoUH0Ffk.json,TRUE
xZbXy4+lDwv8CyX6mdQl1BEhdw8=,"On the Hills, the Knitters",Steve Toase,2022-02-22,,,,,,https://www.bourbonpenn.com/issue/26/on-the-hills-the-knitters-by-steve-toase,bourbonpenn.com,Bourbon Penn,,./scrape/jsonfiles/d2p2Ex5Ue2Ta1Rw8V-A1-XkroEE.json,TRUE
